Data Source in SDW: http://sdw.ecb.europa.eu/browseTable.do?DATASET=0&CB_REP_SECTOR=67&REF_AREA=50&REF_AREA=65&REF_AREA=67&REF_AREA=177&REF_AREA=105&REF_AREA=106&REF_AREA=124&REF_AREA=140&REF_AREA=152&REF_AREA=156&REF_AREA=262&REF_AREA=168&REF_AREA=179&REF_AREA=183&REF_AREA=190&REF_AREA=218&REF_AREA=216&REF_AREA=217&REF_AREA=232&REF_AREA=244&REF_AREA=256&REF_AREA=258&REF_AREA=265&REF_AREA=282&REF_AREA=281&REF_AREA=143&REF_AREA=278&REF_AREA=160&CB_ITEM=I3160&node=9689600
2013-12-31,71.7688,66.1892,73.5715,83.6152,60.2658,53.0790,69.1912,77.7539,65.4248,49.0415,57.2096,40.7485,67.9639,79.1189,61.4132,43.1287,66.7552,78.7093,71.1413,70.1048,59.5748,73.6816,70.0748,71.1526,58.1147,63.9112,70.0302,71.5058,71.7688,66.1892,73.5715,84.0115,60.2658,53.0790,69.1912,77.7539,65.4248,49.0415,57.2096,40.7485,67.9639,79.1189,61.4132,43.1287,66.7552,78.7093,71.1413,70.1048,59.5748,73.6816,70.0748,71.1526,58.1147,63.9112,70.0302,71.5058
2013-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2013-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.0859,63.9859,72.9337,83.7018,62.2396,60.6742,69.8536,79.4320,64.6306,46.9966,56.1568,40.1681,68.8661,79.3630,63.6624,41.4510,66.8201,83.3048,70.0359,72.9367,59.4031,71.9629,69.8792,72.4798,61.1421,63.5335,75.4800,69.8126
2013-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012-12-31,69.8717,60.5897,73.0947,82.8902,60.1398,48.8278,66.5712,77.0709,64.5694,39.6324,53.3323,39.0651,69.3716,-,64.7225,42.1858,67.0096,82.0884,67.8176,73.9973,59.6226,69.0311,70.3549,73.0605,60.2936,61.4408,75.9565,69.9109,69.8717,60.5897,73.0947,82.8902,60.1398,48.8278,66.5712,77.0709,64.5694,39.6324,53.3323,39.0651,69.3716,-,64.7225,42.1858,67.0096,82.0884,67.8176,73.9973,59.6226,69.0311,70.3549,73.0605,60.2936,61.4408,75.9565,69.9109
2012-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.7031,58.2035,77.5885,80.5135,60.8038,60.1712,67.3492,77.1917,67.6335,36.8901,54.0234,38.0603,72.6185,-,65.5019,41.8020,67.0915,84.2987,67.8284,75.0793,63.1298,68.9910,72.3668,74.0652,60.9847,62.5472,76.1920,69.6016
2012-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2011-12-31,69.8473,59.7390,78.8231,76.1095,61.4621,59.1478,66.2332,77.0257,68.6673,35.7297,54.3470,37.0501,75.4542,-,69.9231,42.5985,69.1307,80.2294,67.7638,78.4545,63.1443,67.7474,71.7801,74.4784,62.9178,60.5458,76.4971,70.0401,69.8473,59.7390,78.8231,76.1095,61.4621,59.1478,66.2332,77.0257,68.6673,35.7297,54.3470,37.0501,75.4542,-,69.9231,42.5985,69.1307,80.2294,67.7638,78.4545,63.1443,67.7474,71.7801,74.4784,62.9178,60.5458,76.4971,70.0401
2011-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2011-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.9620,62.9043,79.7934,74.0074,61.5094,51.2928,64.5198,76.7869,70.0934,46.2972,57.0524,39.4538,72.6889,-,67.9170,50.7339,70.5057,80.4912,71.7500,79.2197,68.4807,71.2452,69.5944,74.1990,64.5236,-,78.1014,70.1106
2011-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010-12-31,70.4813,61.2453,79.4553,71.4600,62.2405,51.4375,68.3780,75.1425,70.8247,41.4950,56.4091,39.6778,73.4957,-,71.4051,50.5254,69.5289,80.0455,69.7935,80.1293,66.5989,71.3007,69.2442,73.3147,64.0209,-,77.4916,68.5182,70.4813,61.2453,79.4553,71.4600,62.2405,51.4375,68.3780,75.1425,70.8247,41.4950,56.4091,39.6778,73.4957,-,71.4051,50.5254,69.5289,80.0455,69.7935,80.1293,66.5989,71.3007,69.2442,73.3147,64.0209,-,77.4916,68.5182
2010-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.2910,57.8581,81.0009,64.1336,61.3570,49.4753,60.9275,77.0517,70.1136,39.4938,54.0234,38.0603,74.8442,-,73.1609,43.1626,68.8674,82.5164,64.4803,81.2643,63.1298,68.4763,69.7973,73.9123,67.0896,-,76.1920,65.7486
2009-12-31,70.2225,58.3977,81.5462,70.3488,62.0031,52.9873,68.3759,78.1660,71.9388,46.3513,54.6668,45.6922,75.5687,-,66.7474,57.6779,69.7874,82.3447,66.0505,82.5476,65.9753,70.1396,70.3637,75.8578,66.6446,-,76.6362,68.7388,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-12-31,69.5329,54.2130,80.1654,74.5914,62.0464,48.4376,67.4554,83.1436,73.7247,62.2351,49.2696,59.6950,78.4848,-,71.9605,55.4199,74.1319,85.7976,66.5150,82.2727,70.4146,66.4960,70.7567,78.9178,66.7713,-,78.7342,76.8182,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-12-31,-,62.4819,75.9596,-,61.8197,-,-,-,-,73.6574,55.6538,-,-,-,-,-,68.9095,81.9458,-,-,62.8734,-,72.9300,80.1815,65.0844,-,76.0311,73.4188,,,,,,,,,,,,,,,,,,,,,,,,,,,,
